date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:32	173/173	---MC-	200	added ('OK')	text/plain	date:Wed,%2015%20May%202024%2006:38:33%20GMT	https://dev.timbleglance.com/robots.txt		(from )
12:08:32	349087/349087	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2006:38:33%20GMT	https://dev.timbleglance.com/	C:/My%20Web%20Sites/ww/dev.timbleglance.com/index.html	(from )
12:08:32	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2015%20May%202024%2006:38:33%20GMT	https://dev.timbleglance.com/xmlrpc.php	C:/My%20Web%20Sites/ww/dev.timbleglance.com/xmlrpc.php	(from https://dev.timbleglance.com/)
12:08:32	2894/2894	---M--	200	added ('OK')	text/css	etag:%22660a47f1-b4e%22	https://dev.timbleglance.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://dev.timbleglance.com/)
12:08:33	21275/21275	---M--	200	added ('OK')	text/css	etag:%2265f18ee1-531b%22	https://dev.timbleglance.com/wp-content/plugins/country-phone-field-contact-form-7/assets/css/intlTelInput.min.css?ver=8512bb46698b0329a5c2de6d03c6d9e7	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/country-phone-field-contact-form-7/assets/css/intlTelInput.min2277.css	(from https://dev.timbleglance.com/)
12:08:33	20493/20493	---M--	200	added ('OK')	text/css	etag:%2265f18ee1-500d%22	https://dev.timbleglance.com/wp-content/plugins/country-phone-field-contact-form-7/assets/css/countrySelect.min.css?ver=8512bb46698b0329a5c2de6d03c6d9e7	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/country-phone-field-contact-form-7/assets/css/countrySelect.min2277.css	(from https://dev.timbleglance.com/)
12:08:33	776/776	---M--	200	added ('OK')	text/css	etag:%226620b78d-308%22	https://dev.timbleglance.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.28	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor942d.css	(from https://dev.timbleglance.com/)
12:08:33	118630/118630	---M--	200	added ('OK')	text/css	etag:%2265f7c7d1-1cf66%22	https://dev.timbleglance.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.1	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/elementor/assets/css/frontend-lite.min78fb.css	(from https://dev.timbleglance.com/)
12:08:34	16471/16471	---M--	200	added ('OK')	text/css	etag:%2265f7c7d1-4057%22	https://dev.timbleglance.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://dev.timbleglance.com/)
12:08:34	237859/237859	---MC-	200	added ('OK')	application/rss+xml	etag:%22b27f6516b8fd87616352b9776bb06aa6%22	https://dev.timbleglance.com/feed/	C:/My%20Web%20Sites/ww/dev.timbleglance.com/feed/index.html	(from https://dev.timbleglance.com/)
12:08:34	673/673	---MC-	200	added ('OK')	application/rss+xml	etag:%22b27f6516b8fd87616352b9776bb06aa6%22	https://dev.timbleglance.com/comments/feed/	C:/My%20Web%20Sites/ww/dev.timbleglance.com/comments/feed/index.html	(from https://dev.timbleglance.com/)
12:08:43	1337/1337	---M--	200	added ('OK')	text/css	etag:%22661932a5-539%22	https://dev.timbleglance.com/wp-content/uploads/elementor/css/post-9.css?ver=1712927397	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/uploads/elementor/css/post-9627f.css	(from https://dev.timbleglance.com/)
12:08:43	11053/11053	---M--	200	added ('OK')	text/css	etag:%2265e843ce-2b2d%22	https://dev.timbleglance.com/wp-content/plugins/elementor-pro-1/assets/css/frontend-lite.min.css?ver=3.19.3	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/elementor-pro-1/assets/css/frontend-lite.mince54.css	(from https://dev.timbleglance.com/)
12:08:43	59344/59344	---M--	200	added ('OK')	text/css	etag:%2265f7c7d1-e7d0%22	https://dev.timbleglance.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.20.1	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min78fb.css	(from https://dev.timbleglance.com/)
12:08:43	26702/26702	---M--	200	added ('OK')	text/css	etag:%2265f7c7d1-684e%22	https://dev.timbleglance.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.20.1	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min78fb.css	(from https://dev.timbleglance.com/)
12:08:43	59458/59458	---M--	200	added ('OK')	text/css	etag:%22661932a5-e842%22	https://dev.timbleglance.com/wp-content/uploads/elementor/css/global.css?ver=1712927397	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/uploads/elementor/css/global627f.css	(from https://dev.timbleglance.com/)
12:08:44	28953/28953	---M--	200	added ('OK')	text/css	etag:%22661932a6-7119%22	https://dev.timbleglance.com/wp-content/uploads/elementor/css/post-73.css?ver=1712927398	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/uploads/elementor/css/post-73b977.css	(from https://dev.timbleglance.com/)
12:08:44	75855/75855	---M--	200	added ('OK')	text/css	etag:%226620b78d-1284f%22	https://dev.timbleglance.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.28	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend942d.css	(from https://dev.timbleglance.com/)
12:08:44	16927/16927	---M--	200	added ('OK')	text/css	etag:%22661932a6-421f%22	https://dev.timbleglance.com/wp-content/uploads/elementor/css/post-13.css?ver=1712927398	C:/My%20Web%20Sites/ww/dev.timbleglance.com/wp-content/uploads/elementor/css/post-13b977.css	(from https://dev.timbleglance.com/)
